Model,Release Date,Release Year,Model ID,Company_ID,Model,Release Date,Company,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),PixArea(px2),Width (mm),Length (mm),Area(mm2),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Asus M530w (Asus Aries),1/10/2007,2008,1120,14,Asus M530w (Asus Aries),39356,Asus,0.031220435,0.004193611,0.207638683,0.050359712,0.089430894,0.103174603,0.009226997,0.159618008,0.278688525,0.044483707,0.049390635,0.013018436,0.016163793,0.301615346
Asus R600,1/10/2007,2008,1121,14,Asus R600,39356,Asus,0.031220435,0.002096294,0.199635034,0.18705036,0.154471545,0.119047619,0.01838947,0.369713506,0.139344262,0.051517456,0.076330981,0.035971993,0.043103448,0.209490156
Asus R300,1/11/2007,2008,1149,14,Asus R300,39387,Asus,0.031220435,0.002096294,0.199635034,0.129496403,0.089430894,0.103174603,0.009226997,0.257844475,0.133196721,0.034344039,0.049390635,0.014881271,0.017241379,0.17617365
Asus P527,1/12/2007,2008,1179,14,Asus P527,39417,Asus,0.031220435,0.002096294,0.100089641,0.064748201,0.056910569,0.142857143,0.008130081,0.140518417,0.262295082,0.03685729,0.059653624,0.01216196,0.01487069,0.270570419
Asus P550 (Asus Solaris),1/12/2007,2008,1180,14,Asus P550 (Asus Solaris),39417,Asus,0.031220435,0.004193611,0.259662406,0.129496403,0.056910569,0.142857143,0.008130081,0.175989086,0.295081967,0.051931206,0.066709429,0.020919427,0.027693966,0.17617365
Asus P750,1/12/2007,2008,1181,14,Asus P750,39417,Asus,0.031220435,0.004193611,0.259662406,0.064748201,0.056910569,0.142857143,0.008130081,0.140518417,0.262295082,0.03685729,0.07248236,0.014966919,0.015086207,0.270570419
Asus R700,1/03/2008,2008,1257,14,Asus R700,39508,Asus,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.01838947,0.331514325,0.12704918,0.042118623,0.045542014,0.019506242,0.030172414,0.209490156
Asus R700t,1/03/2008,2008,1258,14,Asus R700t,39508,Asus,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.01838947,0.331514325,0.12704918,0.042118623,0.045542014,0.019506242,0.030172414,0.209490156
Asus M930,1/05/2008,2008,1301,14,Asus M930,39569,Asus,0.031220435,0.004193611,0.224646439,0.064748201,0.12195122,0.103174603,0.012582269,0.129604366,0.262295082,0.033994588,0.080821039,0.014988331,0.02112069,0.340989399
Asus P320 (Asus Galaxy Mini),1/06/2008,2008,1331,14,Asus P320 (Asus Galaxy Mini),39600,Asus,0.031220435,0.002096294,0.100089641,0.064748201,0.056910569,0.142857143,0.008130081,0.130968622,0.204918033,0.026837832,0.046504169,0.00597392,0.009698276,0.276375568
Asus P552w,1/09/2008,2009,1399,14,Asus P552w,39692,Asus,0.062471389,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.008130081,0.1473397,0.217213115,0.032004115,0.053880693,0.009721003,0.009698276,0.244068652
Asus P565,1/01/2009,2009,1526,14,Asus P565,39814,Asus,0.062471389,0.004193611,0.399726275,0.079136691,0.154471545,0.301587302,0.046586656,0.1473397,0.217213115,0.032004115,0.063502245,0.011690898,0.012931034,0.600201918
Asus P835 (Asus Galaxy 7),1/03/2009,2009,1555,14,Asus P835 (Asus Galaxy 7),39873,Asus,0.140598773,0.004193611,0.263664231,0.129496403,0.154471545,0.380952381,0.058846303,0.14324693,0.270491803,0.03874712,0.049390635,0.010598891,0.018965517,0.560070671
Asus Eee Pad Transformer TF101 16GB,1/04/2011,2011,2208,14,Asus Eee Pad Transformer TF101 16GB,40634,Asus,0.499984741,0.249999232,0.499771896,0.604316547,0.479674797,0.380952381,0.182733256,0.721691678,0.5,0.360845839,0.044130853,0.119349935,0.13362069,0.264512872
Asus Eee Pad Transformer TF101G 32GB,1/07/2011,2012,2308,14,Asus Eee Pad Transformer TF101G 32GB,40725,Asus,0.499984741,0.499999488,0.499771896,0.604316547,0.479674797,0.380952381,0.182733256,0.721691678,0.5,0.360845839,0.044130853,0.04314498,0.13362069,0.431600202
Asus Eee Pad Slider SL101 16GB,1/10/2011,2012,2412,14,Asus Eee Pad Slider SL101 16GB,40817,Asus,0.499984741,0.249999232,0.499771896,0.604316547,0.479674797,0.380952381,0.182733256,0.727148704,0.538114754,0.391289446,0.071840924,0.075070124,0.193965517,0.264512872
Asus Eee Pad Transformer Prime TF201 64GB,1/01/2012,2012,2560,14,Asus Eee Pad Transformer Prime TF201 64GB,40909,Asus,0.499984741,1,0.649840327,0.604316547,0.479674797,0.380952381,0.182733256,0.699863574,0.540163934,0.378041061,0.01411161,0.075070124,0.113362069,0.264512872
Asus Eee Pad MeMO 171 ME370T 16GB,1/03/2012,2012,2621,14,Asus Eee Pad MeMO 171 ME370T 16GB,40969,Asus,0.499984741,0.249999232,0.599817517,0.388489209,0.479674797,0.380952381,0.182733256,0.304229195,0.620901639,0.188896406,0.043296985,0.05564953,0.073275862,0.425542655
Asus Transformer Pad 300 3G / Eee Pad Transformer Prime TF300TG,1/04/2012,2012,2652,14,Asus Transformer Pad 300 3G / Eee Pad Transformer Prime TF300TG,41000,Asus,0.499984741,0.249999232,0.599817517,0.604316547,0.479674797,0.380952381,0.182733256,0.699863574,0.540163934,0.378041061,0.024374599,0.091343169,0.13362069,0.264512872
Asus Transformer Pad 300 WiFi / Eee Pad Transformer Prime TF300T,1/04/2012,2012,2653,14,Asus Transformer Pad 300 WiFi / Eee Pad Transformer Prime TF300T,41000,Asus,0.499984741,0.249999232,0.599817517,0.604316547,0.479674797,0.380952381,0.182733256,0.699863574,0.540163934,0.378041061,0.024374599,0.091343169,0.123922414,0.264512872
Asus Padfone,1/06/2012,2012,2735,14,Asus Padfone,41061,Asus,0.499984741,0.249999232,0.755888685,0.18705036,0.178861789,0.46031746,0.082333204,0.160709413,0.323770492,0.052032966,0.019884541,0.008864527,0.016163793,0.679202423
Asus Padfone A66 32GB,1/06/2012,2012,2736,14,Asus Padfone A66 32GB,41061,Asus,0.499984741,0.499999488,0.755888685,0.18705036,0.178861789,0.46031746,0.082333204,0.160709413,0.323770492,0.052032966,0.019884541,0.007044515,0.01487069,0.535840485
Asus Padfone A66 64GB,1/06/2012,2012,2737,14,Asus Padfone A66 64GB,41061,Asus,0.499984741,1,0.755888685,0.18705036,0.178861789,0.46031746,0.082333204,0.160709413,0.323770492,0.052032966,0.019884541,0.010470419,0.017456897,1
Asus Transformer Pad Infinity / Eee Pad Transformer Prime TF700T,1/07/2012,2013,2783,14,Asus Transformer Pad Infinity / Eee Pad Transformer Prime TF700T,41091,Asus,0.499984741,1,0.799908758,0.604316547,0.739837398,0.579365079,0.428635953,0.699863574,0.540163934,0.378041061,0.015394484,0.077104255,0.113362069,0.452801615
Asus Transformer Pad Infinity 3G TF700TG 64GB,1/07/2012,2013,2784,14,Asus Transformer Pad Infinity 3G TF700TG 64GB,41091,Asus,0.499984741,1,0.755888685,0.604316547,0.739837398,0.579365079,0.428635953,0.699863574,0.540163934,0.378041061,0.015394484,0.077104255,0.113362069,0.452801615
Asus Transformer Pad Infinity 4G LTE 64 GB TF700KL / TF700TL,1/09/2012,2013,2881,14,Asus Transformer Pad Infinity 4G LTE 64 GB TF700KL / TF700TL,41153,Asus,0.499984741,1,0.755888685,0.604316547,0.739837398,0.579365079,0.428635953,0.699863574,0.540163934,0.378041061,0.015394484,0.077104255,0.113362069,0.452801615
Asus Vivo Tab RT TF600T,1/10/2012,2013,2961,14,Asus Vivo Tab RT TF600T,41183,Asus,1,0.499999488,0.649840327,0.604316547,0.514634146,0.365079365,0.187882307,0.699863574,0.495901639,0.347063493,0.021167415,0.080551571,0.100215517,0.278899546
Asus Vivo Tab RT TF600TG,1/11/2012,2013,3037,14,Asus Vivo Tab RT TF600TG,41214,Asus,1,0.499999488,0.649840327,0.604316547,0.514634146,0.365079365,0.187882307,0.699863574,0.495901639,0.347063493,0.021167415,0.080551571,0.10237069,0.278899546
Asus Vivo Tab RT TF600TL / Tablet 600,1/11/2012,2013,3038,14,Asus Vivo Tab RT TF600TL / Tablet 600,41214,Asus,1,0.499999488,0.649840327,0.604316547,0.514634146,0.365079365,0.187882307,0.699863574,0.495901639,0.347063493,0.021167415,0.080551571,0.10237069,0.278899546
Asus Padfone 2 A68 16GB,1/12/2012,2013,3111,14,Asus Padfone 2 A68 16GB,41244,Asus,1,0.249999232,0.755888685,0.215827338,0.25203252,0.619047619,0.156020131,0.170259209,0.364344262,0.062032966,0.018601668,0.008864527,0.016163793,0.679202423
Asus Padfone 2 A68 32GB,1/12/2012,2013,3112,14,Asus Padfone 2 A68 32GB,41244,Asus,1,0.499999488,0.755888685,0.215827338,0.25203252,0.619047619,0.156020131,0.170259209,0.364344262,0.062032966,0.018601668,0.008864527,0.016163793,0.679202423
Asus Padfone 2 A68 64GB,1/12/2012,2013,3113,14,Asus Padfone 2 A68 64GB,41244,Asus,1,1,0.755888685,0.215827338,0.25203252,0.619047619,0.156020131,0.170259209,0.364344262,0.062032966,0.018601668,0.007044515,0.01487069,0.535840485
Asus MyPal A600,1/08/2002,2003,234,NA,NA,NA,Asus ,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.186903138,0.31147541,0.058215732,0.042976267,0.016251633,0.016810345,0.17617365
AT_T HTC Tilt 8900 (HTC Kaiser 110),1/10/2007,2008,1122,15,AT_T HTC Tilt 8900 (HTC Kaiser 110),39356,AT_T,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.008130081,0.14324693,0.258196721,0.036985888,0.08274535,0.055178468,0.040948276,0.17617365
AT_T HTC Tilt 8925 (HTC Kaiser 160),1/10/2007,2008,1123,15,AT_T HTC Tilt 8925 (HTC Kaiser 160),39356,AT_T,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.008130081,0.14324693,0.258196721,0.036985888,0.08274535,0.059075434,0.045258621,0.17617365
AT_T HTC Fuze (HTC Raphael 110),1/11/2008,2009,1457,15,AT_T HTC Fuze (HTC Raphael 110),39753,AT_T,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.046586656,0.121418827,0.217213115,0.026373762,0.076330981,0.030790313,0.036422414,0.17617365
AT_T HTC Pure (HTC Topaz 210),1/10/2009,2010,1712,15,AT_T HTC Pure (HTC Topaz 210),40087,AT_T,0.140598773,0.008388246,0.263664231,0.107913669,0.154471545,0.380952381,0.058846303,0.127694407,0.25,0.031923602,0.057087877,0.055178468,0.040948276,0.17617365
AT_T HTC Tilt2 T7377 (HTC Rhodium 300),1/10/2009,2010,1713,15,AT_T HTC Tilt2 T7377 (HTC Rhodium 300),40087,AT_T,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.058846303,0.143792633,0.274590164,0.039484043,0.067671584,0.035929169,0.040948276,0.17617365
AT_T BlackBerry Bold 9700 (RIM Onyx),1/11/2009,2010,1744,15,AT_T BlackBerry Bold 9700 (RIM Onyx),40118,AT_T,0.124973296,0.004193611,0.311686129,0.050359712,0.154471545,0.162698413,0.025132275,0.145975443,0.245901639,0.035895601,0.051314945,0.476479027,0.310344828,0.188793539
Athesi M3 Red,1/10/2005,2006,595,85,Athesi M3 Red,38626,Athesi,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.454918033,0.089494107,0.114817191,0.017450699,0.028017241,0.254164563
Athesi M3 Green,1/10/2006,2007,847,85,Athesi M3 Green,38991,Athesi,0.062471389,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.454918033,0.089494107,0.114817191,0.009378413,0.012284483,0.626451287
Athesi AT-C5000,1/01/2007,2007,912,85,Athesi AT-C5000,39083,Athesi,0.031220435,0.002096294,0.199635034,0.482014388,0.284552846,0.281746032,0.080171635,0.718963165,0.639344262,0.459664974,0.22386145,0.010299124,0.013362069,0.508329127
Athesi M3 Sky,1/06/2007,2007,1027,85,Athesi M3 Sky,39234,Athesi,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.017450699,0.028017241,0.254164563
Athesi M3 Black,1/01/2009,2009,1527,85,Athesi M3 Black,39814,Athesi,0.062471389,0.002096294,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.331967213,0.06023416,0.087876844,0.010598891,0.02262931,0.620646138
M3Mobile M3 Sky AlphaNumeric MC-7100S,1/02/2010,2010,1821,85,M3Mobile M3 Sky AlphaNumeric MC-7100S,40210,Athesi,0.062471389,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.059075434,0.056034483,0.17617365
M3Mobile M3 Sky MC-7500,1/02/2010,2010,1822,85,M3Mobile M3 Sky MC-7500,40210,Athesi,0.062471389,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.059075434,0.056034483,0.17617365
M3Mobile M3 Sky MC-7700,1/02/2010,2010,1823,85,M3Mobile M3 Sky MC-7700,40210,Athesi,0.062471389,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.059075434,0.056034483,0.17617365
M3Mobile M3 Sky QWERTY MC-7100S,1/02/2010,2010,1824,85,M3Mobile M3 Sky QWERTY MC-7100S,40210,Athesi,0.062471389,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.059075434,0.056034483,0.17617365
M3Mobile M3 T MC-6700S,1/05/2010,2010,1903,85,M3Mobile M3 T MC-6700S,40299,Athesi,0.124973296,0.004193611,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.192360164,0.490983607,0.094445687,0.140474663,0.068475259,0.068534483,0.17617365
M3Mobile M3 Orange AlphaNumeric M3-20,1/08/2010,2011,1993,85,M3Mobile M3 Orange AlphaNumeric M3-20,40391,Athesi,0.124973296,0.004193611,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.480327869,0.094492877,0.120590122,0.060210265,0.05862069,0.17617365
M3Mobile M3 Orange QWERTY M3-20,1/08/2010,2011,1994,85,M3Mobile M3 Orange QWERTY M3-20,40391,Athesi,0.124973296,0.004193611,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.480327869,0.094492877,0.120590122,0.060210265,0.05862069,0.17617365
Athesi RP1000 QVGA,1/09/2010,2011,2019,85,Athesi RP1000 QVGA,40422,Athesi,0.124973296,0.008388246,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.352459016,0.063952318,0.09878127,0.015031154,0.025538793,0.538112065
Athesi RP1000 VGA,1/09/2010,2011,2020,85,Athesi RP1000 VGA,40422,Athesi,0.124973296,0.008388246,0.402727644,0.129496403,0.154471545,0.301587302,0.046586656,0.181446112,0.352459016,0.063952318,0.09878127,0.048241012,0.073275862,0.315497224
M3Mobile M3 Edu MC-1100,1/08/2011,2012,2343,85,M3Mobile M3 Edu MC-1100,40756,Athesi,0.062471389,0.016777517,0.402727644,0.129496403,0.056910569,0.142857143,0.008130081,0.173260573,0.270491803,0.046865565,0.062219371,0.01779329,0.025862069,0.17617365
M3Mobile M3 Smart,1/08/2011,2012,2344,85,M3Mobile M3 Smart,40756,Athesi,0.124973296,0.008388246,0.416233803,0.079136691,0.056910569,0.142857143,0.008130081,0.17053206,0.379508197,0.064718315,0.087235407,0.031775261,0.034913793,0.249116608
M3Mobile M3 Sky+,1/09/2011,2012,2387,85,M3Mobile M3 Sky+,40787,Athesi,0.062471389,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.469262295,0.092315993,0.120590122,0.059075434,0.056034483,0.17617365
CyberBank POZ 0850,1/01/2003,2003,262,61,CyberBank POZ 0850,37622,Audiovox,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.008130081,0.179263302,0.32704918,0.058627916,0.071199487,0.043252039,0.050646552,0.390711762
CyberBank POZ 0870,1/06/2003,2003,295,61,CyberBank POZ 0870,37773,Audiovox,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.008130081,0.174624829,0.329918033,0.05761188,0.089159718,0.054985761,0.05237069,0.390711762
Qtek 7070 (HTC Tanager),1/06/2003,2003,302,61,Qtek 7070 (HTC Tanager),37773,Audiovox,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.002881017,0.118963165,0.292622951,0.034811352,0.111610006,0.020919427,0.014439655,0.210499748
CyberBank Triton  0885 / 1880,1/08/2003,2004,311,61,CyberBank Triton  0885 / 1880,37834,Audiovox,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.450819672,0.081799477,0.100705581,0.025266043,0.029956897,0.225391217
CyberBank Triton 0880,1/08/2003,2004,312,61,CyberBank Triton 0880,37834,Audiovox,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.450819672,0.081799477,0.100705581,0.023874269,0.024568966,0.291771832
CyberBank Triton 1880 KW,1/10/2003,2004,329,61,CyberBank Triton 1880 KW,37895,Audiovox,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.450819672,0.081799477,0.100705581,0.044729461,0.060344828,0.17617365
Typhoon MyGuide 5500 XL,1/10/2003,2004,340,61,Typhoon MyGuide 5500 XL,37895,Audiovox,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.191814461,0.31147541,0.059745488,0.046183451,0.017900349,0.017456897,0.17617365
Audiovox PPC-5050 (HTC Falcon),1/11/2003,2004,343,61,Audiovox PPC-5050 (HTC Falcon),37926,Audiovox,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.181446112,0.327868852,0.059490528,0.076330981,0.026850524,0.025,0.17617365
Dopod 696 / 696i (HTC Himalaya),1/11/2003,2004,344,61,Dopod 696 / 696i (HTC Himalaya),37926,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.172987722,0.329918033,0.057071769,0.08274535,0.027385821,0.026939655,0.17617365
Qtek 2060 (HTC Himalaya),1/11/2003,2004,351,61,Qtek 2060 (HTC Himalaya),37926,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.172987722,0.329918033,0.057071769,0.08274535,0.027385821,0.026939655,0.17617365
CyberBank POZ 1870,1/12/2003,2004,357,61,CyberBank POZ 1870,37956,Audiovox,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.008130081,0.174624829,0.329918033,0.05761188,0.076330981,0.024794981,0.03125,0.17617365
CyberBank POZ 2470,1/01/2004,2004,370,61,CyberBank POZ 2470,37987,Audiovox,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.008130081,0.174624829,0.329918033,0.05761188,0.077613855,0.029655483,0.029956897,0.17617365
Dopod 535 (HTC Voyager),1/01/2004,2004,371,61,Dopod 535 (HTC Voyager),37987,Audiovox,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.002881017,0.118963165,0.292622951,0.034811352,0.117382938,0.02207567,0.015086207,0.216304897
Krome Navigator F1 (HTC Himalaya),1/01/2004,2004,372,61,Krome Navigator F1 (HTC Himalaya),37987,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.172987722,0.329918033,0.057071769,0.08274535,0.027385821,0.026939655,0.17617365
Qtek 2020 (HTC Himalaya),1/01/2004,2004,375,61,Qtek 2020 (HTC Himalaya),37987,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.172987722,0.329918033,0.057071769,0.08274535,0.027385821,0.026939655,0.17617365
Qtek 8060 (HTC Voyager),1/01/2004,2004,376,61,Qtek 8060 (HTC Voyager),37987,Audiovox,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.002881017,0.117053206,0.292622951,0.034252455,0.113534317,0.020876603,0.015086207,0.216304897
Typhoon MyGuide 2500,1/01/2004,2004,380,61,Typhoon MyGuide 2500,37987,Audiovox,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.008130081,0.336971351,0.118852459,0.040049874,0.076330981,0.035158341,0.021551724,0.17617365
Typhoon MyGuide 3500 XL,1/04/2004,2004,394,61,Typhoon MyGuide 3500 XL,38078,Audiovox,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.008130081,0.172169168,0.258934426,0.044580525,0.115779346,0.030940197,0.01875,0.17617365
Audiovox PPC-4100,1/06/2004,2004,409,61,Audiovox PPC-4100,38139,Audiovox,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.17053206,0.245901639,0.041934113,0.101988454,0.025994047,0.021336207,0.17617365
Mobile Compia M3 MC-6200S,1/06/2004,2004,411,61,Mobile Compia M3 MC-6200S,38139,Audiovox,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.196725784,0.454918033,0.089494107,0.114817191,0.055178468,0.040948276,0.17617365
Krome Intellekt iQ200 (HTC Voyager),1/07/2004,2005,427,61,Krome Intellekt iQ200 (HTC Voyager),38169,Audiovox,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.002881017,0.118963165,0.292622951,0.034811352,0.117382938,0.02207567,0.015086207,0.216304897
CyberBank Majesty,1/08/2004,2005,428,61,CyberBank Majesty,38200,Audiovox,0.031220435,0.001047635,0.199635034,0.165467626,0.219512195,0.222222222,0.048780488,0.260572988,0.319672131,0.083297922,0.08466966,0.185684003,0.152586207,0.22387683
Qtek 8080 (HTC Voyager),1/08/2004,2005,430,61,Qtek 8080 (HTC Voyager),38200,Audiovox,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.002881017,0.118963165,0.292622951,0.034811352,0.117382938,0.02207567,0.015086207,0.216304897
CyberBank POZ X301,1/09/2004,2005,433,61,CyberBank POZ X301,38231,Audiovox,0.031220435,0.000523305,0.199635034,0.09352518,0.056910569,0.142857143,0.008130081,0.155525239,0.274590164,0.042705701,0.121231559,0.024452391,0.024784483,0.291771832
Qtek 9090 (HTC Blue Angel),1/09/2004,2005,440,61,Qtek 9090 (HTC Blue Angel),38231,Audiovox,0.062471389,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.177626194,0.31147541,0.055326192,0.080821039,0.026400874,0.032758621,0.176678445
Qtek 8010 (HTC Typhoon),1/10/2004,2005,456,61,Qtek 8010 (HTC Typhoon),38261,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.108321965,0.239754098,0.025970635,0.073123797,0.009164294,0.009267241,0.210499748
Typhoon MyGuide 3500 mobile,1/10/2004,2005,460,61,Typhoon MyGuide 3500 mobile,38261,Audiovox,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.008130081,0.172169168,0.258934426,0.044580525,0.115779346,0.030940197,0.01875,0.17617365
Audiovox PPC-6600 (HTC Harrier),1/11/2004,2005,461,61,Audiovox PPC-6600 (HTC Harrier),38292,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.177626194,0.31147541,0.055326192,0.080821039,0.026400874,0.032758621,0.17617365
Audiovox PPC-6601 (HTC Harrier),1/11/2004,2005,462,61,Audiovox PPC-6601 (HTC Harrier),38292,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.177626194,0.31147541,0.055326192,0.080821039,0.026400874,0.031896552,0.17617365
Audiovox SMT-5600 (HTC Typhoon),1/11/2004,2005,463,61,Audiovox SMT-5600 (HTC Typhoon),38292,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.108321965,0.239754098,0.025970635,0.073123797,0.009164294,0.009267241,0.210499748
Dopod 700 (HTC Blue Angel),1/11/2004,2005,467,61,Dopod 700 (HTC Blue Angel),38292,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.177626194,0.31147541,0.055326192,0.080821039,0.026400874,0.032758621,0.176678445
Typhoon MyGuide 3500 GO,1/11/2004,2005,476,61,Typhoon MyGuide 3500 GO,38292,Audiovox,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.009226997,0.358253752,0.094180328,0.033740456,0.125721616,0.045136287,0.030172414,0.17617365
Dopod 565 (HTC Typhoon),1/12/2004,2005,484,61,Dopod 565 (HTC Typhoon),38322,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.108321965,0.239918033,0.025988393,0.073123797,0.009164294,0.009267241,0.210499748
Krome Intellekt iQ700 (HTC Typhoon),1/12/2004,2005,487,61,Krome Intellekt iQ700 (HTC Typhoon),38322,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.108321965,0.239918033,0.025988393,0.073123797,0.009164294,0.009267241,0.210499748
Qtek 8020 (HTC Feeler),1/12/2004,2005,497,61,Qtek 8020 (HTC Feeler),38322,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.103683492,0.239754098,0.024858542,0.076330981,0.008992998,0.009051724,0.204694599
Dopod 575 (HTC Feeler),1/01/2005,2005,506,61,Dopod 575 (HTC Feeler),38353,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.103683492,0.239754098,0.024858542,0.073123797,0.008479113,0.009051724,0.204694599
Dopod 585 (HTC Amadeus),1/01/2005,2005,507,61,Dopod 585 (HTC Amadeus),38353,Audiovox,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.002881017,0.107776262,0.24057377,0.025928142,0.085952534,0.011241248,0.009913793,0.204694599
Dopod 818 (HTC Magician),1/01/2005,2005,508,61,Dopod 818 (HTC Magician),38353,Audiovox,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.14106412,0.24057377,0.033936327,0.076972418,0.014859859,0.020474138,0.245078243
Mobile Compia M2,1/01/2005,2005,520,61,Mobile Compia M2,38353,Audiovox,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.186903138,0.284836066,0.053236755,0.085952534,0.027664176,0.030172414,0.17617365
Typhoon MyGuide 2500 GO,1/01/2005,2005,526,61,Typhoon MyGuide 2500 GO,38353,Audiovox,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.009226997,0.306957708,0.086065574,0.026418491,0.121231559,0.029634071,0.015086207,0.17617365
CyberBank POZ X310,1/02/2005,2005,527,61,CyberBank POZ X310,38384,Audiovox,0.031220435,0.000523305,0.199635034,0.09352518,0.056910569,0.142857143,0.008130081,0.155525239,0.274590164,0.042705701,0.101988454,0.015116802,0.014224138,0.244068652
Daxian CU928 (HTC Harrier),1/02/2005,2005,528,61,Daxian CU928 (HTC Harrier),38384,Audiovox,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.177626194,0.31147541,0.055326192,0.080821039,0.066441128,0.0625,0.222110045
